Kode Wilayah,nama kota,Nama BPS,Alamat,Nomor Telepon/Faksimili,Alamat Email,tautan
1101,Kabupaten Simeulue,BPS Kabupaten Simeulue,"Jl. Tgk. Diujung, Desa Air Dingin, Sinabang",Telp (0650) 8001005,bps1101@bps.go.id,https://simeuluekab.bps.go.id
1102,Kabupaten Aceh Singkil,BPS Kabupaten Aceh Singkil,"Jl. H. Sayuthi No. 2, Pulo Sarok, Singkil",Telp/Fax (0658) 21268,bps1102@bps.go.id,https://acehsingkilkab.bps.go.id
1103,Kabupaten Aceh Selatan,BPS Kabupaten Aceh Selatan,"Jl. T. Ben Mahmud, Lhok Keutapang, Tapaktuan",Telp (0656) 21204,bps1103@bps.go.id,https://acehselatankab.bps.go.id
1104,Kabupaten Aceh Tenggara,BPS Kabupaten Aceh Tenggara,"Jl. T. Bedussamad No. 201, Kutacane",Telp (0629) 21020,bps1104@bps.go.id,https://acehtenggarakab.bps.go.id
1105,Kabupaten Aceh Timur,BPS Kabupaten Aceh Timur,"Jl. Banda Aceh-Medan Km 373, Idi, Aceh Timur",Telp (0646) 7008532,bps1105@bps.go.id,https://acehtimurkab.bps.go.id
1106,Kabupaten Aceh Tengah,BPS Kabupaten Aceh Tengah,"Jl. Pahlawan No. 690, Takengon, Aceh Tengah",Telp (0643) 21047,bps1106@bps.go.id,https://acehtengahkab.bps.go.id
1107,Kabupaten Aceh Barat,BPS Kabupaten Aceh Barat,"Jl. Sisingamangaraja No. 2, Meulaboh, Aceh Barat",Telp (0655) 7009023,bps1107@bps.go.id,https://acehbaratkab.bps.go.id
1108,Kabupaten Aceh Besar,BPS Kabupaten Aceh Besar,"Jl. Jenderal Sudirman No. 7, Kota Jantho 23911",Telp (0651) 92177,bps1108@bps.go.id,https://acehbesarkab.bps.go.id
1109,Kabupaten Pidie,BPS Kabupaten Pidie,"Jl. Prof A Majid Ibrahim, Sigli 24151",Telp/Fax (0653) 21201,bps1109@bps.go.id,https://pidiekab.bps.go.id
1110,Kabupaten Bireuen,BPS Kabupaten Bireuen,"Jl. Banda Aceh-Medan KM 216,5, Meunasah Blang, Kota Juang, Bireuen",Telp (0644) 8454005,bps1110@bps.go.id,https://bireuenkab.bps.go.id
1111,Kabupaten Aceh Utara,BPS Kabupaten Aceh Utara,"Jl. Banda Aceh-Medan KM 295,7, Desa Alue Drien No. 62, Landing Lhoksukon Barat, Aceh Utara",Telp (0645) 8454005,bps1111@bps.go.id,https://acehutarakab.bps.go.id
1112,Kabupaten Aceh Barat Daya,BPS Kabupaten Aceh Barat Daya,"Jl. Bukit Hijau, Komplek Perkantoran Abdyam, Blangpidie, Aceh Barat Daya",Telp (0659) 93179,bps1112@bps.go.id,https://acehbaratdayakab.bps.go.id
1113,Kabupaten Gayo Lues,BPS Kabupaten Gayo Lues,"Jl. Brigjend (Pol) Riduan Karim No. 34, Desa Sentang, Blangkejeren, Gayo Lues 24653",,bps1113@bps.go.id,https://gayolueskab.bps.go.id
1114,Kabupaten Aceh Tamiang,BPS Kabupaten Aceh Tamiang,Jl. Ir H Juanda Kampung Tanah Terban,Telp (0641) 332597,bps1114@bps.go.id,https://acehtamiangkab.bps.go.id
1117,Kabupaten Nagan Raya,BPS Kabupaten Nagan Raya,"Jl. Paduka yang Mulia Presiden Soekarno, Suka Makmue",Telp (0655) 755404,bps1117@bps.go.id,https://naganrayakab.bps.go.id
1116,Kabupaten Aceh Jaya,BPS Kabupaten Aceh Jaya,"Jl. Banda Aceh-Meulaboh KM 153, Dusun Kuala Meurisi, Gampong Keutapang, Aceh Jaya",Telp (0654) 2210057,bps1116@bps.go.id,https://acehjayakab.bps.go.id
1115,Kabupaten Bener Meriah,BPS Kabupaten Bener Meriah,"Jl. Bandara Rembele-Pante Raya, Wonosobo, Wih Pesam",Telp (0643) 8001034,bps1115@bps.go.id,https://benermeriahkab.bps.go.id
1118,Kabupaten Pidie Jaya,BPS Kabupaten Pidie Jaya,"Komplek Perkantoran Pemerintah Daerah Kabupaten Pidie Jaya, Rungkom, Meureudu",Telp (0625) 351284,bps1118@bps.go.id,https://pidiejayakab.bps.go.id
1171,Kota Banda Aceh,BPS Kota Banda Aceh,"Jl. Laksamana Malahayati KM 6,5, Desa Baet, Aceh Besar",Telp (0651) 7428345,bps1171@bps.go.id,https://bandaacehkota.bps.go.id
1172,Kota Sabang,BPS Kota Sabang,"Kuta Ateuh Jalan Teuku Umar No. 28, Kota Atas, Sukakarya, Kuta Ateueh, Sukakarya 23511",Telp (0652) 21346,bps1172@bps.go.id,https://sabangkota.bps.go.id
1173,Kota Langsa,BPS Kota Langsa,"Jl. Tgk Chik Ditunong No. 28, P.B.Tunong, Langsa",Telp (0641) 21277,bps1173@bps.go.id,https://langsakota.bps.go.id
1174,Kota Lhokseumawe,BPS Kota Lhokseumawe,"Jl. Tgk Chik Di Tiro No. 5, Lancang Garam, Lhokseumawe",Telp (0645) 47884,bps1174@bps.go.id,https://lhokseumawekota.bps.go.id
1175,Kota Subulussalam,BPS Kota Subulussalam,"Kompleks Perkantoran Walikota Subulussalam, Desa Lae Oram, Kota Subulussam",Telp (0627) 31750,bps1175@bps.go.id,https://subulussalamkota.bps.go.id
1201,Kabupaten Nias,BPS Kabupaten Nias,"Jl. Ampera No. 3, Gunungsitoli, Nias 22814",Telp (0639) 21646 Fax (0639) 21646,bps1201@bps.go.id,https://niaskab.bps.go.id
1202,Kabupaten Mandailing Natal,BPS Kabupaten Mandailing Natal,"Kompleks Perkantoran Payaloting, Penyabungan",Telp (0636) 326176 Fax (0636) 326176,bps1202@bps.go.id,https://mandailingnatalkab.bps.go.id
1203,Kabupaten Tapanuli Selatan,BPS Kabupaten Tapanuli Selatan,"Jl. Sisingamangaraja KM 5,6, Batu Nadua, Padang Sidimpuan 22736",Telp (0634) 25826 Fax (0634) 25776,bps1203@bps.go.id,https://tapanuliselatankab.bps.go.id
1204,Kabupaten Tapanuli Tengah,BPS Kabupaten Tapanuli Tengah,Jl. N. Daulay Pandan 22611,Telp (0631) 371082 Fax (0631) 371082,bps1204@bps.go.id,https://tapanulitengahkab.bps.go.id
1205,Kabupaten Tapanuli Utara,BPS Kabupaten Tapanuli Utara,"Jl. Sutan Sumurung No. 7 Tarutung, Tapanuli Utara 22417",Telp (0633) 21153 Fax (0633) 21755,bps1205@bps.go.id,https://tapanuliutarakab.bps.go.id
1206,Kabupaten Toba,BPS Kabupaten Toba Samosir,"Jl. Somba Debata No. 5, Onan Raja, Balige, Toba Samosir 22315",Telp (0632) 21480 Fax (0632) 322194,bps1206@bps.go.id,https://tobakab.bps.go.id
1207,Kabupaten Labuhan Batu,BPS Kabupaten Labuhan Batu,"Jl. Flamboyan No. 3, Kompleks Bupati, Rantauprapat",Telp (0624) 21207 Fax (0624) 21075,bps1207@bps.go.id,https://labuhanbatukab.bps.go.id
1208,Kabupaten Asahan,BPS Kabupaten Asahan,Jl. Tusam No. 2 Kisaran 21216,Telp (0623) 41731 Fax (0623) 347432,bps1208@bps.go.id,https://asahankab.bps.go.id
